Close_Date,Company,Source,Deal_Value,Industry,Days_to_Close
2025-01-01,ClearView Medical,Google Ads,3140,Healthcare,30
2025-01-01,DataPulse Systems,Google Ads,2309,Technology,48
2025-01-01,PineGrove Retail,Email,3902,Retail,46
2025-01-01,Golden Gate Goods,Referral,2407,Retail,24
2025-01-02,ForgePoint Mfg,Google Ads,3356,Manufacturing,33
2025-01-02,IronEdge Co,Meta,3284,Manufacturing,57
2025-01-04,Apex Consulting,Events,10801,Professional Services,48
2025-01-05,Silverlake Goods,Events,12198,Retail,25
2025-01-07,PrismView Solutions,Meta,2710,Technology,60
2025-01-09,Pinnacle Advisory,Meta,1910,Professional Services,64
2025-01-09,TerraNode Labs,Referral,3601,Technology,23
2025-01-11,DataPulse Systems,Email,3118,Technology,36
2025-01-11,Atlas Manufacturing,Content,3879,Manufacturing,41
2025-01-12,MindBridge Tech,Google Ads,2184,Technology,46
2025-01-12,AcuCare Solutions,Events,9852,Healthcare,14
2025-01-12,Bridgepoint Consulting,Content,2728,Professional Services,60
2025-01-12,Evergreen Partners,Content,4741,Professional Services,35
2025-01-13,GridScale Computing,Google Ads,1875,Technology,35
2025-01-14,Frontier Consulting,Google Ads,2598,Professional Services,56
2025-01-14,HyperLoop Digital,Email,3147,Technology,35
2025-01-14,CarePath Solutions,Events,14841,Healthcare,31
2025-01-15,Pixel Forge Studios,Events,10541,Technology,47
2025-01-16,Luminary Tech,Google Ads,3292,Technology,56
2025-01-16,Keystone Advisory,Events,11166,Professional Services,47
2025-01-17,OrchardView Trading,Google Ads,2208,Retail,41
2025-01-17,RedBarn Trading,Meta,3290,Retail,39
2025-01-17,Elevation Strategy,Email,4075,Professional Services,33
2025-01-17,NeuralPath Inc,Content,3189,Technology,68
2025-01-18,ByteCraft Systems,Email,2070,Technology,35
2025-01-20,Mosaic Partners,Referral,4199,Professional Services,21
2025-01-20,NovaCare Health,Referral,6083,Healthcare,30
2025-01-22,RedBarn Trading,Google Ads,1715,Retail,37
2025-01-22,Blackwood Associates,Google Ads,3569,Professional Services,40
2025-01-22,Bridgepoint Consulting,Google Ads,3495,Professional Services,44
2025-01-22,Agile Horizon,Meta,1893,Technology,61
2025-01-22,FusionPoint Tech,Email,3582,Technology,56
2025-01-23,Granite Advisory,Referral,5295,Professional Services,29
2025-01-24,Harbor Strategy Group,Meta,2148,Professional Services,53
2025-01-27,BioStar Health,Content,4078,Healthcare,53
2025-01-28,GraniTech Industries,Email,3203,Manufacturing,48
2025-02-01,Landmark Consulting,Google Ads,3068,Professional Services,24
2025-02-03,RedBarn Trading,Meta,2126,Retail,45
2025-02-03,Bolt & Beam Co,Referral,4068,Manufacturing,22
2025-02-04,Blackwood Associates,Meta,2383,Professional Services,70
2025-02-04,Paradigm Consulting,Email,3412,Professional Services,41
2025-02-06,NeuralPath Inc,Meta,2579,Technology,71
2025-02-06,JunctionPoint Mfg,Email,3644,Manufacturing,35
2025-02-06,Vanguard Advisors,Events,9595,Professional Services,65
2025-02-06,InnoStack Inc,Events,9081,Technology,31
2025-02-06,NeuralPath Inc,Content,3453,Technology,66
2025-02-07,Blackwood Associates,Content,3388,Professional Services,71
2025-02-08,Keystone Advisory,Google Ads,3016,Professional Services,57
2025-02-09,Ironworks Industrial,Meta,2089,Manufacturing,27
2025-02-09,RapidStack Tech,Email,2812,Technology,40
2025-02-09,TimberLine Retail,Events,7929,Retail,44
2025-02-10,MetalWorks Manufacturing,Google Ads,2550,Manufacturing,41
2025-02-10,Ironworks Industrial,Meta,1937,Manufacturing,61
2025-02-10,IronEdge Co,Email,2332,Manufacturing,38
2025-02-10,Harbor Strategy Group,Referral,4350,Professional Services,28
2025-02-12,CarePath Solutions,Google Ads,3167,Healthcare,59
2025-02-13,NexaTech Solutions,Google Ads,3058,Technology,68
2025-02-14,Landmark Consulting,Google Ads,3521,Professional Services,32
2025-02-14,DocuHealth Systems,Meta,2608,Healthcare,36
2025-02-16,Silverlake Goods,Email,4166,Retail,32
2025-02-16,Vertex Software,Referral,5504,Technology,11
2025-02-17,RapidStack Tech,Content,3884,Technology,48
2025-02-18,NexaTech Solutions,Google Ads,2871,Technology,47
2025-02-20,GraniTech Industries,Meta,2399,Manufacturing,31
2025-02-22,DataPulse Systems,Google Ads,3092,Technology,51
2025-02-23,DataPulse Systems,Google Ads,2316,Technology,63
2025-02-23,Atlas Manufacturing,Events,5392,Manufacturing,24
2025-02-24,Elevation Strategy,Events,12256,Professional Services,46
2025-02-25,Vertex Software,Google Ads,2621,Technology,64
2025-02-25,Luminary Tech,Email,5191,Technology,16
2025-02-25,OptimalHealth Tech,Referral,4380,Healthcare,24
2025-02-27,PeakFlow Digital,Google Ads,2492,Technology,48
2025-03-01,Insight Partners LLC,Google Ads,2726,Professional Services,64
2025-03-01,OptimalHealth Tech,Email,2849,Healthcare,37
2025-03-01,JetStream Analytics,Referral,4127,Technology,21
2025-03-02,Landmark Consulting,Email,1659,Professional Services,67
2025-03-03,Mosaic Partners,Google Ads,2924,Professional Services,26
2025-03-03,TrueNorth Digital,Events,7429,Technology,56
2025-03-04,ClearView Medical,Google Ads,3056,Healthcare,44
2025-03-04,VitaLink Health,Events,12253,Healthcare,37
2025-03-04,Frontier Consulting,Referral,2822,Professional Services,12
2025-03-05,Pixel Forge Studios,Google Ads,2971,Technology,52
2025-03-05,Golden Gate Goods,Events,10813,Retail,34
2025-03-07,GraniTech Industries,Meta,2501,Manufacturing,43
2025-03-07,TimberLine Retail,Email,5081,Retail,51
2025-03-07,MindBridge Tech,Events,13308,Technology,61
2025-03-07,LaunchPad Systems,Referral,5795,Technology,39
2025-03-08,AppSphere Global,Google Ads,2022,Technology,35
2025-03-09,MedCore Systems,Google Ads,3134,Healthcare,44
2025-03-09,CloudBridge Inc,Meta,3179,Technology,31
2025-03-09,ByteCraft Systems,Email,3480,Technology,20
2025-03-09,Mosaic Partners,Referral,4147,Professional Services,21
2025-03-10,Pixel Forge Studios,Google Ads,2204,Technology,56
2025-03-10,Denali Strategy,Email,3104,Professional Services,47
2025-03-10,KineCare Medical,Content,3136,Healthcare,33
2025-03-10,GridScale Computing,Referral,6260,Technology,29
2025-03-11,TrueNorth Digital,Meta,2717,Technology,37
2025-03-12,OptimalHealth Tech,Events,12789,Healthcare,53
2025-03-15,Harbor Strategy Group,Google Ads,2143,Professional Services,81
2025-03-16,EliteHealth Tech,Events,9637,Healthcare,41
2025-03-18,Keystone Advisory,Content,2586,Professional Services,79
2025-03-19,Pixel Forge Studios,Content,3101,Technology,31
2025-03-22,OrchardView Trading,Events,7214,Retail,33
2025-03-22,FreshPath Market,Content,2702,Retail,75
2025-03-23,DataPulse Systems,Meta,2735,Technology,27
2025-03-24,Agile Horizon,Google Ads,3009,Technology,38
2025-03-25,TrueNorth Digital,Meta,2398,Technology,69
2025-03-25,DocuHealth Systems,Email,2619,Healthcare,8
2025-03-26,DataPulse Systems,Google Ads,3619,Technology,25
2025-03-26,DocuHealth Systems,Email,2493,Healthcare,29
2025-03-27,Atlas Manufacturing,Meta,3339,Manufacturing,53
2025-03-27,Maple & Stone,Email,5067,Retail,45
2025-03-28,Eclipse Industrial,Meta,1838,Manufacturing,33
2025-03-28,Ironworks Industrial,Referral,4401,Manufacturing,21
2025-04-01,Northstar Advisory,Events,8465,Professional Services,52
2025-04-02,BrightLeaf Retail,Google Ads,2612,Retail,74
2025-04-02,EliteHealth Tech,Content,3005,Healthcare,30
2025-04-03,PineGrove Retail,Email,4610,Retail,48
2025-04-03,HyperLoop Digital,Email,3625,Technology,43
2025-04-04,Frontier Consulting,Meta,3157,Professional Services,43
2025-04-06,PrecisionCraft Mfg,Events,7518,Manufacturing,37
2025-04-07,Compass Advisory,Events,11438,Professional Services,52
2025-04-07,Blackwood Associates,Referral,5404,Professional Services,21
2025-04-08,Compass Advisory,Google Ads,2106,Professional Services,41
2025-04-09,ForgePoint Mfg,Content,2525,Manufacturing,58
2025-04-11,ByteCraft Systems,Meta,2032,Technology,100
2025-04-12,Evergreen Partners,Referral,4109,Professional Services,28
2025-04-13,CarePath Solutions,Google Ads,2676,Healthcare,81
2025-04-13,TimberLine Retail,Google Ads,3645,Retail,55
2025-04-13,MedCore Systems,Meta,1646,Healthcare,36
2025-04-13,PrecisionCraft Mfg,Meta,1912,Manufacturing,72
2025-04-13,OptimalHealth Tech,Referral,5297,Healthcare,20
2025-04-14,PineGrove Retail,Referral,2567,Retail,19
2025-04-16,NexaTech Solutions,Google Ads,1644,Technology,47
2025-04-17,UrbanRoot Market,Google Ads,3113,Retail,53
2025-04-17,Vanguard Advisors,Referral,5528,Professional Services,38
2025-04-18,Archer Associates,Email,3945,Professional Services,44
2025-04-18,HealthBridge Solutions,Events,4443,Healthcare,7
2025-04-18,TerraNode Labs,Referral,3703,Technology,37
2025-04-19,JourneyHealth,Google Ads,2367,Healthcare,66
2025-04-19,TimberLine Retail,Meta,3188,Retail,46
2025-04-20,Quantum Logic Corp,Google Ads,3101,Technology,55
2025-04-20,Jade Mountain Trading,Email,3325,Retail,52
2025-04-20,NorthPoint Market,Events,8465,Retail,35
2025-04-21,UpLink Solutions,Email,1815,Technology,39
2025-04-22,FusionPoint Tech,Meta,1717,Technology,41
2025-04-23,MindBridge Tech,Google Ads,3060,Technology,54
2025-04-23,Landmark Consulting,Google Ads,2976,Professional Services,51
2025-04-24,LaunchPad Systems,Content,3986,Technology,51
2025-04-26,LuxeHome Retail,Email,4060,Retail,41
2025-04-26,Summit Partners LP,Content,2943,Professional Services,45
2025-04-27,Oakwood Strategy,Events,11669,Professional Services,42
2025-04-28,Mosaic Partners,Email,3594,Professional Services,54
2025-04-28,OrchardView Trading,Referral,3550,Retail,21
2025-05-01,LaunchPad Systems,Meta,2517,Technology,69
2025-05-01,KitchenCraft Co,Referral,5752,Retail,33
2025-05-02,Landmark Consulting,Email,4746,Professional Services,37
2025-05-02,IronEdge Co,Email,3823,Manufacturing,23
2025-05-04,Sterling Advisory Group,Referral,4217,Professional Services,29
2025-05-05,Meridian Partners,Events,9742,Professional Services,55
2025-05-05,Landmark Consulting,Content,3401,Professional Services,78
2025-05-06,HealthBridge Solutions,Google Ads,2747,Healthcare,43
2025-05-06,Archer Associates,Google Ads,3076,Professional Services,68
2025-05-06,CarePath Solutions,Google Ads,2003,Healthcare,44
2025-05-06,NorthPoint Market,Meta,3062,Retail,39
2025-05-06,CoreForge Industries,Referral,5714,Manufacturing,27
2025-05-06,CloudBridge Inc,Referral,3840,Technology,24
2025-05-07,PrismView Solutions,Meta,1375,Technology,53
2025-05-07,OmniCore Solutions,Events,11452,Technology,14
2025-05-07,OmniCore Solutions,Content,1400,Technology,43
2025-05-08,Catalyst Group,Google Ads,2234,Professional Services,55
2025-05-08,BioStar Health,Email,3971,Healthcare,50
2025-05-10,NovaCare Health,Google Ads,2179,Healthcare,65
2025-05-10,Compass Advisory,Email,1835,Professional Services,35
2025-05-10,CodeWave Technologies,Email,4374,Technology,39
2025-05-12,CodeWave Technologies,Google Ads,3322,Technology,38
2025-05-13,BioStar Health,Meta,2681,Healthcare,30
2025-05-14,HardLine Manufacturing,Events,7937,Manufacturing,31
2025-05-15,Eclipse Industrial,Meta,1587,Manufacturing,77
2025-05-16,Atlas Manufacturing,Google Ads,3332,Manufacturing,55
2025-05-16,Blackwood Associates,Meta,2744,Professional Services,44
2025-05-16,DataLens Corp,Email,3148,Technology,66
2025-05-18,PrismView Solutions,Google Ads,3163,Technology,61
2025-05-18,CarePath Solutions,Referral,5079,Healthcare,33
2025-05-19,Sterling Advisory Group,Meta,2045,Professional Services,38
2025-05-19,PineGrove Retail,Events,8502,Retail,44
2025-05-19,BrightLeaf Retail,Events,8338,Retail,44
2025-05-20,Urban Harvest Co,Google Ads,3654,Retail,43
2025-05-21,Catalyst Group,Content,2876,Professional Services,58
2025-05-21,Ember & Oak,Referral,3667,Retail,39
2025-05-24,Paradigm Consulting,Google Ads,2310,Professional Services,80
2025-05-24,Vertex Software,Email,2689,Technology,41
2025-05-24,OrchardView Trading,Content,2894,Retail,63
2025-05-27,TimberLine Retail,Events,9024,Retail,38
2025-05-27,Bridgepoint Consulting,Content,2418,Professional Services,53
2025-05-28,NexaTech Solutions,Google Ads,2952,Technology,38
2025-05-28,SynApps Digital,Meta,2956,Technology,59
2025-05-28,LuxeHome Retail,Events,7510,Retail,48
2025-06-01,LuxeHome Retail,Meta,3079,Retail,45
2025-06-03,FreshPath Market,Meta,2389,Retail,77
2025-06-03,FreshPath Market,Email,3708,Retail,37
2025-06-03,SilverLine Systems,Content,2607,Technology,29
2025-06-04,Archer Associates,Events,10467,Professional Services,22
2025-06-05,Evergreen Partners,Meta,2724,Professional Services,51
2025-06-05,Radiant Consulting,Email,3335,Professional Services,37
2025-06-06,DuraTech Manufacturing,Referral,3623,Manufacturing,31
2025-06-06,QuarterMoon Market,Referral,6201,Retail,34
2025-06-07,Archer Associates,Meta,2058,Professional Services,45
2025-06-07,RapidStack Tech,Referral,3083,Technology,28
2025-06-08,Vertex Software,Google Ads,2556,Technology,58
2025-06-08,FirstResponse Medical,Email,4309,Healthcare,42
2025-06-09,Harbor Strategy Group,Meta,2413,Professional Services,57
2025-06-13,CyberVault Security,Email,2741,Technology,19
2025-06-14,BioStar Health,Content,2361,Healthcare,61
2025-06-14,JetStream Analytics,Referral,3845,Technology,29
2025-06-15,GreenField Health,Email,1912,Healthcare,29
2025-06-15,CodeWave Technologies,Events,10498,Technology,39
2025-06-16,Mosaic Partners,Content,2253,Professional Services,47
2025-06-17,Bolt & Beam Co,Google Ads,2691,Manufacturing,48
2025-06-17,LuxeHome Retail,Events,10723,Retail,39
2025-06-17,Granite Advisory,Referral,3575,Professional Services,35
2025-06-18,KeyLogic AI,Google Ads,3640,Technology,56
2025-06-18,Jade Mountain Trading,Google Ads,3047,Retail,43
2025-06-19,Granite Advisory,Google Ads,1698,Professional Services,45
2025-06-19,Maple & Stone,Google Ads,2830,Retail,62
2025-06-19,FreshPath Market,Meta,2051,Retail,23
2025-06-20,SynApps Digital,Google Ads,3679,Technology,52
2025-06-20,MindBridge Tech,Events,9163,Technology,35
2025-06-21,JunctionPoint Mfg,Meta,1630,Manufacturing,40
2025-06-21,AppSphere Global,Email,4276,Technology,39
2025-06-21,FreshPath Market,Events,9934,Retail,39
2025-06-22,Golden Gate Goods,Google Ads,2891,Retail,70
2025-06-23,OrchardView Trading,Events,7735,Retail,40
2025-06-24,Silverlake Goods,Email,2958,Retail,35
2025-06-24,Pixel Forge Studios,Referral,4633,Technology,34
2025-06-26,Compass Advisory,Google Ads,1798,Professional Services,73
2025-06-26,ByteCraft Systems,Google Ads,2315,Technology,63
2025-06-26,TerraNode Labs,Content,3040,Technology,69
2025-06-27,KitchenCraft Co,Google Ads,2204,Retail,63
2025-06-27,NeuralPath Inc,Events,11094,Technology,33
2025-06-27,DuraTech Manufacturing,Content,3267,Manufacturing,51
2025-07-02,Bridgepoint Consulting,Google Ads,3348,Professional Services,41
2025-07-02,KitchenCraft Co,Meta,2490,Retail,27
2025-07-03,Ember & Oak,Events,10889,Retail,22
2025-07-04,Compass Advisory,Google Ads,2176,Professional Services,31
2025-07-04,FusionPoint Tech,Content,2679,Technology,30
2025-07-05,Urban Harvest Co,Google Ads,3571,Retail,55
2025-07-05,Coastal Trading Co,Email,4146,Retail,38
2025-07-06,DocuHealth Systems,Google Ads,2777,Healthcare,56
2025-07-06,InnoCare Systems,Email,2907,Healthcare,65
2025-07-06,Maple & Stone,Events,10064,Retail,22
2025-07-08,Mosaic Partners,Events,13176,Professional Services,36
2025-07-10,Oakwood Strategy,Google Ads,2380,Professional Services,58
2025-07-10,Insight Partners LLC,Google Ads,2520,Professional Services,48
2025-07-11,BioStar Health,Google Ads,3728,Healthcare,33
2025-07-11,GreenField Health,Google Ads,2232,Healthcare,51
2025-07-11,DataPulse Systems,Content,3220,Technology,82
2025-07-13,PrecisionCraft Mfg,Google Ads,3003,Manufacturing,50
2025-07-13,SilverLine Systems,Meta,2966,Technology,37
2025-07-13,OptimalHealth Tech,Meta,2792,Healthcare,51
2025-07-16,KeyLogic AI,Google Ads,2614,Technology,64
